50	5.24	5.152	5.32	0.1093691	0.1076456	0.1125984
100	4.536	4.44	4.576	0.1070459	0.1027307	0.1022198
150	4.032	3.952	4.04	0.09597866	0.09727684	0.09360342
200	3.68	3.648	3.72	0.09384242	0.08845555	0.0883991
250	3.296	3.344	3.448	0.08873295	0.08582923	0.08388793
300	3.056	3.12	3.208	0.08325537	0.08142727	0.08228575
350	2.888	3.032	2.976	0.07908112	0.07937193	0.07609005
400	2.752	2.848	2.848	0.07360696	0.07290805	0.07113075
450	2.624	2.744	2.68	0.06482666	0.0690062	0.06304284
500	2.52	2.632	2.592	0.06097868	0.06301035	0.05991781
550	2.408	2.544	2.488	0.05342419	0.05851714	0.05663412
600	2.36	2.456	2.4	0.04989589	0.05542794	0.05184593
650	2.288	2.392	2.344	0.0458282	0.05147178	0.04905768
700	2.224	2.32	2.304	0.04146439	0.04773259	0.04541295
750	2.208	2.256	2.248	0.0402361	0.04225939	0.04168914
800	2.168	2.24	2.208	0.03508709	0.04110474	0.03861274
850	2.152	2.2	2.16	0.0335199	0.03794733	0.03431618
900	2.12	2.184	2.144	0.03003997	0.03655921	0.03269642
950	2.088	2.176	2.136	0.02594271	0.03583429	0.03184362
1000	2.088	2.16	2.128	0.02594271	0.03431618	0.03095907
