50	5.504	5.184	5.104	0.1001196	0.1013142	0.1090538
100	5.064	4.48	4.424	0.1043821	0.1004311	0.1017492
150	4.592	4.088	3.904	0.09603199	0.09483156	0.09240745
200	4.296	3.784	3.632	0.08891308	0.09263572	0.0889174
250	4.032	3.52	3.336	0.08687867	0.08894043	0.08743235
300	3.784	3.264	3.08	0.08469579	0.08395961	0.08240388
350	3.656	3.112	2.856	0.08221105	0.07988632	0.07384481
400	3.568	2.928	2.72	0.08013429	0.07339798	0.06863235
450	3.472	2.768	2.624	0.08102385	0.07026168	0.06282114
500	3.368	2.608	2.504	0.0792105	0.06543198	0.05720084
550	3.232	2.536	2.4	0.07467733	0.06147207	0.05184593
600	3.144	2.448	2.36	0.07384481	0.05625997	0.04989589
650	3.032	2.384	2.336	0.0717489	0.05353668	0.04862526
700	2.896	2.328	2.312	0.06873672	0.0507707	0.04589797
750	2.84	2.248	2.264	0.06736171	0.046065	0.04281607
800	2.76	2.216	2.216	0.06444843	0.04239547	0.03926036
850	2.712	2.168	2.176	0.06365708	0.03856299	0.03583429
900	2.656	2.136	2.16	0.0615033	0.03379373	0.03431618
950	2.632	2.104	2.128	0.06094509	0.03027765	0.03095907
1000	2.56	2.08	2.104	0.05679437	0.02478709	0.02808444
