0.01	0.0281373	0.00125908	0.000986798	0.0310528	0.00238834	4.39728e-11
0.02	0.111709	0.00503252	0.00394524	0.123222	0.0095414	1.95831e-10
0.03	0.248224	0.0113088	0.0088695	0.273581	0.0214234	5.21467e-10
0.04	0.433652	0.0200691	0.0157498	0.477378	0.037975	1.15238e-09
0.05	0.662506	0.0312867	0.0245727	0.728228	0.0591135	2.32353e-09
0.06	0.928132	0.044928	0.0353205	1.01836	0.0847334	4.43794e-09
0.07	1.2229	0.0609515	0.0479722	1.3389	0.114707	8.17231e-09
0.08	1.53847	0.0793089	0.0625026	1.68023	0.148886	1.46458e-08
0.09	1.8661	0.0999449	0.0788829	2.03234	0.187099	2.56859e-08
0.1	2.19696	0.122798	0.0970806	2.38516	0.229158	4.42431e-08
0.11	2.52236	0.147798	0.117059	2.72892	0.274855	7.50303e-08
0.12	2.83408	0.174872	0.13878	3.05449	0.323964	1.25499e-07
0.13	3.12459	0.203938	0.162198	3.35363	0.376244	2.0732e-07
0.14	3.38725	0.234909	0.187268	3.61923	0.431439	3.38599e-07
0.15	3.61649	0.267695	0.213938	3.84553	0.48928	5.47179e-07
0.16	3.80791	0.302196	0.242156	4.02814	0.549485	8.75504e-07
0.17	3.95836	0.338312	0.271864	4.16421	0.611764	1.38772e-06
0.18	4.06594	0.375935	0.303003	4.25233	0.675815	2.18e-06
0.19	4.13001	0.414957	0.335509	4.29252	0.741331	3.39531e-06
0.2	4.15106	0.455261	0.369316	4.2861	0.808001	5.24451e-06
0.21	4.13069	0.496732	0.404356	4.23558	0.875509	8.03619e-06
0.22	4.07139	0.539249	0.440556	4.14441	0.943535	1.22183e-05
0.23	3.97646	0.58269	0.477842	4.01687	1.01176	1.84364e-05
0.24	3.84975	0.626929	0.516136	3.85779	1.07987	2.7613e-05
0.25	3.69564	0.671839	0.55536	3.67239	1.14755	4.10571e-05
0.26	3.51872	0.717295	0.595432	3.46603	1.21449	6.06118e-05
0.27	3.3237	0.763165	0.636267	3.24411	1.28039	8.88523e-05
0.28	3.11526	0.809323	0.677779	3.01182	1.34495	0.000129349
0.29	2.89792	0.855638	0.71988	2.77405	1.40788	0.000187018
0.3	2.67593	0.901982	0.762481	2.53527	1.46892	0.000268569
0.31	2.45316	0.948227	0.805489	2.29946	1.52778	0.000383103
0.32	2.23306	0.994245	0.848811	2.07003	1.58423	0.000542855
0.33	2.01863	1.03991	0.892353	1.84982	1.63802	0.000764164
0.34	1.81235	1.0851	0.93602	1.64109	1.68893	0.00106866
0.35	1.61623	1.1297	0.979713	1.44554	1.73675	0.0014848
0.36	1.43181	1.17358	1.02334	1.26434	1.7813	0.00204964
0.37	1.26014	1.21662	1.06679	1.09816	1.8224	0.00281118
0.38	1.10192	1.25872	1.10997	0.947256	1.85989	0.00383097
0.39	0.957458	1.29977	1.15279	0.811527	1.89364	0.00518738
0.4	0.826681	1.33965	1.19513	0.690553	1.92353	0.00697936
0.41	0.709319	1.37827	1.23691	0.583679	1.94947	0.00933075
0.42	0.60486	1.41552	1.27802	0.490067	1.97136	0.0123953
0.43	0.512632	1.45131	1.31835	0.408755	1.98915	0.0163621
0.44	0.431851	1.48556	1.35782	0.338699	2.00281	0.0214618
0.45	0.361602	1.51817	1.39631	0.278821	2.0123	0.027973
0.46	0.300949	1.54907	1.43374	0.22804	2.01762	0.0362291
0.47	0.249	1.57818	1.47	0.185303	2.01878	0.0466251
0.48	0.204805	1.60542	1.50499	0.149608	2.01583	0.0596243
0.49	0.167469	1.63074	1.53862	0.120016	2.0088	0.0757642
0.5	0.136143	1.65406	1.5708	0.0956616	1.99777	0.0956616
0.51	0.110034	1.67534	1.60142	0.0757642	1.98281	0.120016
0.52	0.0884227	1.69451	1.6304	0.0596243	1.96402	0.149608
0.53	0.0706496	1.71154	1.65765	0.0466251	1.94152	0.185303
0.54	0.0561279	1.72637	1.68308	0.0362291	1.91543	0.22804
0.55	0.044312	1.73898	1.7066	0.027973	1.88588	0.278821
0.56	0.034828	1.74933	1.72813	0.0214618	1.85304	0.338699
0.57	0.0272037	1.75739	1.74758	0.0163621	1.81705	0.408755
0.58	0.0211294	1.76313	1.76488	0.0123953	1.7781	0.490067
0.59	0.0163174	1.76654	1.77994	0.00933075	1.73635	0.583679
0.6	0.0125328	1.7676	1.7927	0.00697936	1.692	0.690553
0.61	0.00957262	1.76629	1.80308	0.00518738	1.64524	0.811527
0.62	0.00727107	1.76262	1.81101	0.00383097	1.59628	0.947256
0.63	0.00552237	1.75657	1.81642	0.00281118	1.54531	1.09816
0.64	0.00412646	1.74815	1.81926	0.00204964	1.49254	1.26434
0.65	0.00308317	1.73735	1.81947	0.0014848	1.4382	1.44554
0.66	0.00229111	1.72419	1.81698	0.00106866	1.38248	1.64109
0.67	0.00169082	1.70866	1.81175	0.000764164	1.32561	1.84982
0.68	0.00124313	1.69078	1.80372	0.000542855	1.2678	2.07003
0.69	0.000909606	1.67057	1.79286	0.000383103	1.20927	2.29946
0.7	0.000662567	1.64803	1.77912	0.000268569	1.15024	2.53527
0.71	0.000480538	1.62318	1.76247	0.000187018	1.0909	2.77405
0.72	0.000347	1.59605	1.74286	0.000129349	1.03147	3.01182
0.73	0.000224019	1.56665	1.72028	8.88523e-05	0.972158	3.24411
0.74	0.000178109	1.535	1.69469	6.06118e-05	0.913162	3.46603
0.75	0.000123963	1.50113	1.66608	4.10571e-05	0.85468	3.67239
0.76	8.7274e-05	1.46505	1.63443	2.7613e-05	0.796902	3.85779
